id,producto,valor_u,cantidad,total,dia_semana
1,Amper MangoLoco,20,4,80,Domingo
2,Amper Calaca,20,1,20,Sabado
3,Amper Speed,20,3,60,Domingo
4,Amper MangoLoco,20,5,100,Martes
5,Amper Original,20,2,40,Lunes
6,Amper MangoLoco,20,5,100,Sabado
7,Amper Blueberry,20,5,100,Domingo
8,Amper Original,20,4,80,Miercoles
9,Amper Original,20,5,100,Lunes
10,Amper Original,20,1,20,Viernes
11,Amper Original,20,2,40,Domingo
12,Amper Blueberry,20,1,20,Lunes
13,Amper Original,20,4,80,Jueves
14,Amper MangoLoco,20,1,20,Martes
15,Amper Original,20,3,60,Sabado
16,Amper Calaca,20,5,100,Domingo
17,Amper Calaca,20,4,80,Domingo
18,Amper Original,20,3,60,Domingo
19,Amper Blueberry,20,2,40,Domingo
20,Amper MangoLoco,20,5,100,Domingo
21,Amper Blueberry,20,1,20,Sabado
22,Amper Blueberry,20,5,100,Martes
23,Amper Original,20,2,40,Martes
24,Amper Blueberry,20,5,100,Sabado
25,Amper MangoLoco,20,4,80,Lunes
26,Amper MangoLoco,20,4,80,Lunes
27,Amper Blueberry,20,4,80,Lunes
28,Amper MangoLoco,20,1,20,Domingo
29,Amper Speed,20,5,100,Lunes
30,Amper MangoLoco,20,3,60,Miercoles
31,Amper MangoLoco,20,4,80,Sabado
32,Amper MangoLoco,20,4,80,Viernes
33,Amper MangoLoco,20,2,40,Jueves
34,Amper Blueberry,20,1,20,Jueves
35,Amper Blueberry,20,2,40,Sabado
36,Amper Original,20,2,40,Sabado
37,Amper Blueberry,20,4,80,Domingo
38,Amper Blueberry,20,3,60,Sabado
39,Amper Calaca,20,1,20,Domingo
40,Amper Blueberry,20,2,40,Domingo
41,Amper Calaca,20,3,60,Jueves
42,Amper Blueberry,20,5,100,Lunes
43,Amper Blueberry,20,2,40,Sabado
44,Amper MangoLoco,20,4,80,Sabado
45,Amper MangoLoco,20,4,80,Jueves
46,Amper MangoLoco,20,1,20,Sabado
47,Amper MangoLoco,20,5,100,Sabado
48,Amper MangoLoco,20,1,20,Domingo
